system:index,Latitude,Longitude,Year,.geo
00000000000000003572_0,6.458722606509253,-2.276607991461097,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003573_0,6.45872222102137,-2.276336700245902,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003589_0,6.458178723398001,-2.2757948893257987,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003574_0,6.458721835388976,-2.2760654090472445,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000357f_0,6.458450086506489,-2.275794503603739,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035bd_0,6.4560143542097,-2.2804099022930826,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003575_0,6.458721449612069,-2.27579411786513,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035a1_0,6.45655669768943,-2.280137845716884,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003570_0,6.458723762105842,-2.2774218652058407,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035ae_0,6.456285717618411,-2.280409519158444,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000356b_0,6.458993198507987,-2.276065023436561,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000356a_0,6.458993584156717,-2.276336314779694,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035d0_0,6.455194885272858,-2.276612999139342,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000356c_0,6.458992812714742,-2.2757937321099715,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003569_0,6.458993969660931,-2.276607606139364,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035d1_0,6.455194499997249,-2.27634170980176,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035d2_0,6.455194114577205,-2.276070420480715,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003519_0,6.470940872703904,-2.281473997446921,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035a0_0,6.456557081024217,-2.2804091360073624,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035bc_0,6.456014737367551,-2.280681192311171,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003565_0,6.459264561624092,-2.276064637809335,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003566_0,6.459264175814504,-2.275793346338264,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003564_0,6.459264947289158,-2.276335929296949,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002583_0,5.177625674459553,-1.2054620001916565,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000257b_0,5.177896937684009,-1.2054612351653402,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000257c_0,5.177896170608405,-1.2051906691070502,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035c5_0,6.455743373939696,-2.280681575284958,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003563_0,6.459265332809699,-2.2766072208011003,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
