FID,vid,id,source,project,pcode,name,visit_date,visit,novisit_reason,geom,longitude,latitude,location_origin,prefecture,sousprefecture,commune,village,chantiers_numb,workers_numb,workers_women,workers_women_work_type,childunder15,childunder15_work_type,minerals,minerals_diamant,minerals_or,minerals_autre,production_destination,services1_name,services1_frequency,services2_name,services2_frequency,services3_name,services3_frequency,actor_type,actor1name,actor1name_frequency,actor1name_tax,actor1name_pillage,actor1name_forcedlabour,actor1name_buyminerals,actor1name_digging,actor1name_monopoly,actor2name,actor2name_frequency,actor2name_tax,actor2name_pillage,actor2name_forcedlabour,actor2name_buyminerals,actor2name_digging,actor2name_monopoly,actor3name,actor3name_frequency,actor3name_tax,actor3name_pillage,actor3name_forcedlabour,actor3name_buyminerals,actor3name_digging,actor3name_monopoly,roadblocks,roadblocks_actor,environment_water_change,environment_deforestation,conflict_category,conflict_type,accident_injured,accident_dead
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b90,21,11,IPIS,IPIS - TetraTech 2019,cafmine00011,Sadou,2019/4/24,1,,POINT (15.69165 6.80107),15.69165,6.80107,Approximation,Ouham-Pendé,Bocaranga,Péndé,Boléré,7,400,150,"Creuser, Laver, Transporter",50,"Creuser, Laver, Transporter",Or,0,1,0,"Cameroun 2, Tchad",,,,,,,groupe_arme,3R,aleatoire,0,1,,0,,0,,,,,,,,,,,,,,,,,0,,1,extension etayement,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b91,22,12,IPIS,IPIS - TetraTech 2019,cafmine00012,Kangabé,2019/4/24,1,,POINT (15.680651 6.808367),15.680651,6.808367,Approximation,Ouham-Pendé,Bocaranga,Péndé,Moundji,4,500,250,"Laver, Transporter",20,"Laver, Transporter",Or,0,1,0,"Tchad, Cameroun 2",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,etayement extension chauffage,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b92,23,19,IPIS,IPIS - TetraTech 2019,cafmine00019,Ouana-Sego,2019/4/24,1,,POINT (17.7908966667 3.7920883333),17.79089667,3.79208833,GPS,Lobaye,Mbaïki,Bogongo Gaza,Mengui,3,60,0,,10,"Laver, Traiter",Or,0,1,0,"Bagandou, Bangui",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,extension chauffage,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b93,24,26,IPIS,IPIS - TetraTech 2019,cafmine00026,Cflt Gamme-Datoli,2019/4/24,1,,POINT (17.0101866667 5.5268833333),17.01018667,5.52688333,GPS,Ombella-M'Poko,Yaloké,Guézéli,Gaga,36,700,100,"Creuser, Concasser, Laver, Transporter, Traiter",200,"Creuser, Concasser, Laver, Traiter",Or,0,1,0,"Gaga, Yaloké",Administration des mines,aleatoire,Brigade minière (USAF),aleatoire,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,etayement extension,,,10,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b94,25,27,IPIS,IPIS - TetraTech 2019,cafmine00027,Gamme 5 Kilo,2019/4/24,1,,POINT (17.01591 5.53323),17.01591,5.53323,GPS,Ombella-M'Poko,Yaloké,Guézéli,5kilos,20,300,200,"Creuser, Concasser, Laver, Transporter, Traiter",40,"Creuser, Concasser, Laver, Transporter, Traiter",Or,0,1,0,"Gaga, Yaloké",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,etayement extension,,,1,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b95,26,28,IPIS,IPIS - TetraTech 2019,cafmine00028,Ban,2019/4/24,1,,POINT (17.0307483333 5.5570616667),17.03074833,5.55706167,GPS,Ombella-M'Poko,Yaloké,Guézéli,Ban,120,3000,1000,"Creuser, Concasser, Laver, Transporter, Traiter",250,"Creuser, Concasser, Laver, Transporter, Traiter",Or,0,1,0,Yaloké,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,etayement extension,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b96,27,29,IPIS,IPIS - TetraTech 2019,cafmine00029,Site De Ban-Kalyé,2019/4/24,1,,POINT (17.0727933333 5.6182766667),17.07279333,5.61827667,GPS,Ombella-M'Poko,Yaloké,Yaloké,Kalyé,35,1300,400,"Creuser, Concasser, Laver, Transporter, Traiter",300,"Creuser, Laver, Transporter, Traiter",Or,0,1,0,Garoua Boulaï,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,etayement extension,,,3,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b97,28,86,IPIS,IPIS - TetraTech 2019,cafmine00086,Gan,2019/4/24,1,,POINT (16.43022 6.4537),16.43022,6.4537,Approximation,Ouham-Pendé,Bozoum,Dan-Gbabiri,Rota,2,26,7,"Creuser, Creuser sous terre, Laver, Transporter, Traiter",12,"Creuser, Laver, Transporter, Traiter",Or,0,1,0,Bozoum,Brigade minière (USAF),aleatoire,,,,,etatique,FACA,,,,,,,,,,,,,,,,,,,,,,,,0,,1,extension chauffage,,,0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b98,29,87,IPIS,IPIS - TetraTech 2019,cafmine00087,Gbonkolo,2019/4/24,1,,POINT (16.409127 6.40295),16.409127,6.40295,Approximation,Ouham-Pendé,Bozoum,Bozoum,Kosso,1,250,120,"Concasser, Laver, Transporter, Traiter",60,"Concasser, Laver, Transporter, Traiter",Or,0,1,0,"Bozoum, Mbai Mboum, Garoua Boulaï",Administration des mines,aleatoire,Brigade minière (USAF),trois_mois,Services de santé,aleatoire,etatique,FACA,,,,,,,,,,,,,,,,,,,,,,,,0,,1,chauffage extension,Conflit lié _ l__xploitation artisanale,"Conflits de limites, Conflits lié au vol, Conflits concernant le partage des gains, Conflits entre propriétaires et exploitants",0,0
caf_mines_curated_all_opendata_p_ipis.fid--35544b23_18ea50370ca_4b99,30,102,IPIS,IPIS - TetraTech 2019,cafmine00102,Sagna,2019/4/24,1,,POINT (16.419996 6.438595),16.419996,6.438595,Approximation,Ouham-Pendé,Bozoum,Dan-Gbabiri,Gongo,2,100,55,"Concasser, Laver, Transporter, Traiter",20,"Concasser, Laver, Transporter, Traiter",Or,0,1,0,Bozoum,Brigade minière (USAF),aleatoire,Services de santé,aleatoire,Administration des mines,aleatoire,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,etayement extension chauffage,,,3,0
