Unnamed: 0,Longitude,Latitude,NDVI,Band1,Band2,Band3,Band6,Band10,geometry,distance_to_village,distance_to_waterway,distance_to_local_road,distance_to_main_road,distance_to_protected_area
890,26.840666711609213,-1.9143065074011203,0.34891292,8311.0,8413.0,8945.0,12057.0,44024.0,POINT (26.840666711609213 -1.9143065074011203),2041315.016593351,2052229.0492393668,2057437.8445816056,2050574.292394669,1882262.8187601198
891,26.840936462527093,-1.9143065325929456,0.36580607,8285.0,8437.0,9022.0,12275.0,43998.0,POINT (26.840936462527093 -1.9143065325929456),2041338.2272370497,2052252.2822884356,2057461.0469276768,2050597.5669728909,1882287.8581446975
892,26.84120621344853,-1.9143065577420848,0.36373907,8288.0,8413.0,8945.0,12334.0,44012.0,POINT (26.84120621344853 -1.9143065577420848),2041361.4380513304,2052275.515506628,2057484.24944308,2050620.841719472,1882312.8976697526
893,26.841475964373508,-1.9143065828485395,0.37368697,8271.0,8398.0,8911.0,12410.0,44026.0,POINT (26.841475964373508 -1.9143065828485395),2041384.6490361863,2052298.7488939343,2057507.4521278085,2050644.1166344066,1882337.9373352777
894,26.84174571530203,-1.9143066079123088,0.37837145,8286.0,8406.0,9034.0,12115.0,44036.0,POINT (26.84174571530203 -1.9143066079123088),2041407.8601916102,2052321.9824503504,2057530.6549818555,2050667.3917176877,1882362.977141267
895,26.842015466234084,-1.9143066329333924,0.35379088,8283.0,8417.0,8949.0,12018.0,44047.0,POINT (26.842015466234084 -1.9143066329333924),2041431.0715175974,2052345.2161758686,2057553.858005216,2050690.6669693093,1882388.017087715
896,26.84228521716967,-1.9143066579117904,0.37224817,8311.0,8403.0,8977.0,12381.0,44035.0,POINT (26.84228521716967 -1.9143066579117904),2041454.283014141,2052368.4500704852,2057577.0611978837,2050713.9423892654,1882413.0571746153
897,26.842554968108782,-1.9143066828475035,0.36550024,8341.0,8440.0,9025.0,12278.0,44026.0,POINT (26.842554968108782 -1.9143066828475035),2041477.4946812342,2052391.684134192,2057600.264559852,2050737.2179775499,1882438.0974019617
898,26.84282471905141,-1.914306707740531,0.36900383,8309.0,8439.0,9018.0,12046.0,44008.0,POINT (26.84282471905141 -1.914306707740531),2041500.7065188722,2052414.9183669828,2057623.4680911144,2050760.4937341558,1882463.137769748
899,26.84309446999755,-1.914306732590873,0.36392856,8362.0,8474.0,9056.0,12411.0,43987.0,POINT (26.84309446999755 -1.914306732590873),2041523.9185270467,2052438.1527688515,2057646.6717916646,2050783.7696590768,1882488.1782779677
900,26.843364220947198,-1.9143067573985293,0.35594767,8310.0,8438.0,8977.0,12087.0,43965.0,POINT (26.843364220947198 -1.9143067573985293),2041547.1307057526,2052461.3873397924,2057669.8756614975,2050807.0457523086,1882513.2189266167
901,26.84363397190033,-1.9143067821635005,0.35835353,8308.0,8443.0,8981.0,12283.0,43946.0,POINT (26.84363397190033 -1.9143067821635005),2041570.3430549821,2052484.6220797985,2057693.0797006038,2050830.322013842,1882538.2597156845
902,26.84390372285697,-1.9143068068857856,0.37419614,8353.0,8470.0,9058.0,12226.0,43930.0,POINT (26.84390372285697 -1.9143068068857856),2041593.5555747314,2052507.8569888638,2057716.2839089816,2050853.598443673,1882563.3006451693
903,26.844173473817094,-1.9143068315653853,0.36808035,8365.0,8449.0,8987.0,12260.0,43916.0,POINT (26.844173473817094 -1.9143068315653853),2041616.768264992,2052531.092066983,2057739.4882866214,2050876.8750417945,1882588.3417150627
904,26.844443224780697,-1.914306856202301,0.37362435,8350.0,8446.0,9017.0,12285.0,43915.0,POINT (26.844443224780697 -1.914306856202301),2041639.981125758,2052554.3273141484,2057762.6928335188,2050900.1518082004,1882613.3829253593
905,26.84471297574778,-1.9143068807965296,0.3936929,8325.0,8443.0,9035.0,12744.0,43905.0,POINT (26.84471297574778 -1.9143068807965296),2041663.1941570244,2052577.5627303543,2057785.8975496665,2050923.428742885,1882638.4242760532
906,26.844982726718325,-1.9143069053480744,0.37212944,8277.0,8396.0,8911.0,12184.0,43885.0,POINT (26.844982726718325 -1.9143069053480744),2041686.407358783,2052600.7983155947,2057809.1024350587,2050946.7058458407,1882663.4657671375
907,26.845252477692338,-1.9143069298569328,0.37662625,8345.0,8449.0,8985.0,12343.0,43856.0,POINT (26.845252477692338 -1.9143069298569328),2041709.620731029,2052624.0340698631,2057832.3074896894,2050969.9831170624,1882688.507398606
908,26.845522228669804,-1.9143069543231053,0.3840632,8317.0,8443.0,9034.0,12791.0,43843.0,POINT (26.845522228669804 -1.9143069543231053),2041732.834273755,2052647.2699931536,2057855.512713552,2050993.2605565442,1882713.549170454
909,26.845791979650723,-1.914306978746593,0.37426445,8296.0,8420.0,8944.0,12118.0,43855.0,POINT (26.845791979650723 -1.914306978746593),2041756.0479869558,2052670.5060854591,2057878.718106641,2051016.5381642783,1882738.5910826733
910,26.84606173063509,-1.9143070031273957,0.38200897,8308.0,8433.0,9033.0,12555.0,43862.0,POINT (26.84606173063509 -1.9143070031273957),2041779.2618706243,2052693.7423467748,2057901.9236689482,2051039.8159402602,1882763.6331352594
911,26.84633148162289,-1.9143070274655116,0.3817173,8314.0,8438.0,9011.0,12348.0,43869.0,POINT (26.84633148162289 -1.9143070274655116),2041802.4759247534,2052716.9787770936,2057925.129400469,2051063.0938844825,1882788.6753282046
912,26.846601232614127,-1.9143070517609435,0.3643714,8285.0,8427.0,8942.0,12050.0,43880.0,POINT (26.846601232614127 -1.9143070517609435),2041825.6901493378,2052740.2153764088,2057948.335301197,2051086.371996939,1882813.7176615044
913,26.846870983608788,-1.9143070760136889,0.3867996,8253.0,8437.0,8992.0,12212.0,43889.0,POINT (26.846870983608788 -1.9143070760136889),2041848.9045443714,2052763.4521447138,2057971.5413711255,2051109.6502776241,1882838.7601351524
